PC1,PC2,Outcome
-0.32573276788338795,-1.618562570208271,Yes
0.6239153738280131,2.5807971601115045,No
-2.4060613479024973,-1.1069342864799516,Yes
-0.8527872816884754,-0.26432000911489334,No
-1.8805921823741258,-1.0989278808080805,No
-0.5927517372544777,0.9253167244489755,No
-1.307291133481245,-0.032040293799331244,No
-2.9629071312417286,2.2195394270222137,No
1.116031772414686,2.6525973023907676,No
1.1933884904687586,-0.18444851207287197,No
-1.514402741778867,0.16626446190584088,No
-0.2251306027295928,0.7523851036946848,No
-1.5570665713882903,1.0678964965637585,No
-2.1268340827988177,-0.08466441167510039,No
-1.913560502017801,-0.05492182658588545,Yes
1.9482241709686032,0.4558432867629114,No
-1.4766205010086675,0.16020657654886847,No
-3.101200084055739,-0.05816408226340073,No
4.782083061597028,-0.6245471733732816,No
-1.5107503231150337,-1.1103486475554072,No
-1.707821893431545,0.8424731658259297,No
-1.1451767909496495,1.210527194035209,Yes
1.926093623109976,0.10097758291012233,No
-3.3979011334635167,0.16774094828901476,No
-1.642838103271975,-0.4085799503112731,Yes
5.119539707214095,-1.529120760719706,No
-0.41689440646781656,3.5563238719546497,Yes
0.5635416520949382,-0.498449112954074,No
4.186428247108899,0.7844673351500008,No
2.125361622705765,-3.2647328175605166,No
-2.252339983895541,-1.330449780868087,No
-0.44043766566058434,-1.1396705036991601,No
-1.0704317005594457,0.8156033700332057,No
-1.251765848445405,-1.2277940975966526,Yes
-2.5280174391631123,0.2444559797262777,Yes
-1.1840884998073549,-0.5154887722876448,No
-1.6768380222494605,-0.36913284203787633,Yes
-2.0778560665495025,-0.028722676394738883,No
-1.9145661234506937,-2.008401473275303,No
-0.7543035037067253,0.3168422612775455,No
-2.7630656174306036,-0.4887878640905727,No
-2.793489179059102,-0.6012321473811854,No
-2.8470735884985108,-0.06421099395138945,Yes
0.7405632982216415,0.5643995696105428,No
0.49764804106340305,3.302941599078444,No
6.320620645059076,0.5423865289718623,Yes
0.6876671331310575,2.8630993142114507,No
-2.2422478512134583,1.2421847995579414,No
0.8309042318578961,1.3537128954958892,No
-2.7366925427155624,0.4184967899875168,No
-0.11048046958500901,-3.1530954815231786,Yes
-2.063262417305676,-0.13907815855148406,Yes
-0.3482816831257846,0.4428955647292606,No
-0.2847790339040429,-0.9575955899575904,No
-1.881488968584064,-0.5813239320925895,No
3.5377740335095655,1.3327111637243114,No
1.2051954955512152,2.1512480309349926,No
-1.5926877420191263,-0.3801156859981016,No
0.1757563642481997,2.2232489332286858,No
-0.07304164366153594,0.6593085539490224,No
0.9157125100478739,3.5165906724994285,No
0.9533992387412005,0.4227923713305657,No
5.853135626677012,-1.0482253051643522,No
4.927907656749758,-0.5472311545367414,No
3.7188537020263626,1.5056655454209031,No
1.5487580587006282,-2.435007369942836,No
-0.641307622774474,-0.36363566359645355,No
0.2067701911904285,-1.906464194217285,No
-1.7979038310151916,-0.8302867406777885,No
-2.529495782533445,-0.02014593631359338,Yes
0.4632938424336937,-2.4351156605366766,No
-1.60485624725533,2.6567781154322874,No
-2.5594825879751437,-0.08505658291959045,No
0.14966383001901865,0.9031547489096942,No
-2.3382458873820884,-1.0798732502405612,No
